,date,tital,user,dislike,like,rating,page_index
55,posted on 29 Jul 2020,Salesforce Administrator for 4.9 years in Pune, Anonymous · Current Employee · Process associated  Division    ,Dislikes I have complicated my 5 years in Tcs. I joined as bpo 1.. and after 5 years still I am bpo 1.. and at the time of promotion they Released. Not got good hike.. in last 5 years.That worst thing I experienced in last 5 years..,Likes I am very happy to being a part of Tata Consultancy services. ,3.0,16
56,posted on 01 Aug 2020,Assistant System Engineer  in Bangalore, Anonymous · Software Development Division    ,Dislikes There are no hike in this year. ,"Likes There are no lay off in TCS, 100% job security. They are paying internet cost also due to WFH in this panademic. ",3.0,16
57,posted on 05 Aug 2020,It Analyst for 7 years in Scotia Bank Canada, Anonymous · Former Employee · Information Technology Division    ,Dislikes Not keeping the good quality people which created lot of politics.,Likes I left job in covid because my team mentally harrased me and forced me to leave my job,2.0,16
58,posted on 25 Jun 2020,Senior Associate  in Tril It Park , Anonymous · Finance & Insurance Division    ,"Dislikes Teammates are home,about training it is good and job security is awesome,no about the appraisal criteria the growth is very slow  there has been some time politics at the time of appraisal,","Likes It has been good working in covid 19 bcz we are working from home and there was no cut off in salary as other companies did also the work system was delivered to us to Ur home address with safety 
",5.0,16
59,posted on 22 Jul 2020,Process Associate  in Gandhinagar, Anonymous · BPS Division    ,"Dislikes To be honest, you will get bore after 6 months or so. As you are facing the pc most of the time doing processing. ","Likes In lockdown, we have work from home.they have provided pc to those who were not having to do their work. Even internet cost is given by the company during monthly salary.",4.0,16
60,posted on 31 Jul 2020,It Business Analyst for 1.6 years in Bengalore, Anonymous · Former Employee · Business Analysis Division    ,Dislikes No job security for payroll employees,"Likes I worked one and half year as a payroll, my manager keep telling that will convert, but it didn't happened and they removed all contract employees stating covid 19 impact, worst decision by TCS",3.0,17
61,posted on 04 Aug 2020,Assistant System Engineer Trainee  in Gurgaon, Anonymous · GGVI Division    ,Dislikes Salary increments and appraisal,Likes Supporting in every aspect,5.0,17
62,posted on 29 Jul 2020,I T Analyst  in PUNE, Anonymous · Information Technology Division    ,Dislikes Career growth and skill development is zero here,Likes Job is secured and no career growth here in TCS.,4.0,17
63,posted on 29 Jul 2020,Oracle Database Administrator  in Pune, Anonymous · Manufacturing Division    ,"Dislikes Nothing but just giving false hopes to employees. Also, not being open to employees specially contractors. ","Likes I was laid off though I was a contractor there. So, I am not sure if their motive is to keep their permanent employees happy. This is just my view. I was told there are making me permanent employee but that never happened.",2.0,17
64,posted on 26 Jul 2020,"Senior Process Associate  in Chennai, Tamil Nadu, India", Anonymous · Banking and financial  Division    ,Dislikes There is partiality in the management level especially in appraisal time. ,Likes I am very happy to work with TCS.  There  is a great opportunity to grown up my knowledge and my skills.  There is a good team i got. ,5.0,17
65,posted on 28 Jul 2020,Information Technology Analyst  in Chennai, Anonymous · Banking & Finance Division    ,Dislikes Career growth is not good.. Salary is not good for experienced candidates,Likes Totally fracturing.. I couldn't manage work life balance.. working day and night without any compensation or hike.. ,1.0,17
66,posted on 03 Aug 2020,Information And Media Operational Specialist  in Hyderabad, Anonymous · Business Process Outsourcing Division    ,Dislikes No Hikes...No benefits.. ,Likes Good at providing job security but failed in concerning employees issues and benefits. Worst at hikes,3.0,17
